,UniProt ID,InChI Key,Parameter,Value,Unit,Database Source,Database Target ID,Database Ligand ID,Reference,Interaction_type
0,P26684,SBACFWNGSKLATN-UHFFFAOYSA-N,IC50,2100,nM,ChEMBL,CHEMBL4566,CHEMBL352241,10098676,0
1,P56481,UVCYUMJOUAVORG-NQDKFOQASA-N,IC50,12.2,nM,ChEMBL,CHEMBL2854,CHEMBL342932,9438020,1
2,P11229,HSFWTAVXXXJJRW-CAOOACKPSA-N,IC50,401,nM,ChEMBL,CHEMBL216,CHEMBL3600972,26077492,1
3,P41145,FGXWKSZFVQUSTL-UHFFFAOYSA-N,IC50,6994,nM,ChEMBL,CHEMBL237,CHEMBL219916,DrugMatrix in vitro pharmacology data,0
4,P19327,KRMDCWKBEZIMAB-UHFFFAOYSA-N,IC50,1996,nM,ChEMBL,CHEMBL273,CHEMBL629,DrugMatrix in vitro pharmacology data,0
5,P33032,JCWSTHXQYUMWKE-LQWITFIISA-N,IC50,130,nM,ChEMBL,CHEMBL4608,CHEMBL508816,18412316,1
6,P70536,LCKIMAYTFGNSOJ-SRMNXDGMSA-N,IC50,190,nM,ChEMBL,CHEMBL3996,CHEMBL338020,1331448,1
7,P30551,RTFGZAILZBYXIJ-GKXKVECMSA-N,IC50,8490,nM,ChEMBL,CHEMBL2871,CHEMBL2369762,"Bioorg. Med. Chem. Lett., (1994) 4:19:2263",0
8,Q9H228,NFEFCBPHVVPEHI-SIKLNZKXSA-N,IC50,60,nM,ChEMBL,CHEMBL2274,CHEMBL210782,16580205,1
9,P26684,IMZRKILMBXWZMB-ZJGIAAPESA-N,IC50,3.7,nM,ChEMBL,CHEMBL4566,CHEMBL112347,9022798,1
10,P28223,XFYUYPSWQGVSKG-UHFFFAOYSA-N,IC50,242,nM,ChEMBL,CHEMBL224,CHEMBL3601044,26077492,1
11,P34995,BFBTVZNKWXWKNZ-HWKANZROSA-N,IC50,>20000,nM,ChEMBL,CHEMBL1811,CHEMBL565591,19957930,0
12,P29274,NKANXQFJJICGDU-QPLCGJKRSA-N,IC50,7099,nM,ChEMBL,CHEMBL251,CHEMBL83,DrugMatrix in vitro pharmacology data,0
13,P35463,QHMWKDMFWGUKEK-UHFFFAOYSA-N,IC50,1800,nM,ChEMBL,CHEMBL3949,CHEMBL63113,11985472,0
14,P30874,PUDHBTGHUJUUFI-CHCYPAMJSA-N,IC50,118,nM,ChEMBL,CHEMBL1804,CHEMBL3349614,9544214,1
15,O95136,SJSQQBATFXLXQC-SFTDATJTSA-N,IC50,>10000,nM,ChEMBL,CHEMBL2955,CHEMBL210785,16580205,0
16,Q00788,DVMXTWCHCARTQS-UHFFFAOYSA-N,IC50,>100000,nM,ChEMBL,CHEMBL3766,CHEMBL60096,8393113,0
17,P26684,HHJWCONZILQEJI-UHFFFAOYSA-N,IC50,11,nM,ChEMBL,CHEMBL4566,CHEMBL315087,11086733,1
18,Q99500,AEINVRKYWDZAKS-UZUQRXQVSA-N,IC50,3100,nM,ChEMBL,CHEMBL3892,CHEMBL377828,16621543,0
